Name,ISIN,Ticker,Morningstar Fair Value Status,Morningstar Rating Overall,Price/Fair Value,Morningstar Fair Value Per Share,Fair Value Uncertainty,Consider Buying,Consider Selling,Economic Moat,Business Risk Pillar,Moat Trend,Morningstar Credit Rating,Moat Source - Cost Advantage,Moat Source - Efficient Scale,Moat Source - Intangible Assets,Moat Source - Network Effect,Moat Source - Switch Cost,Quantitative Fair Value Estimate Base Currency,Quantitative Valuation,Quantitative Valuation Score,Quantitative Valuation Uncertainty,Quantitative Valuation Uncertainty Score,Quantitative Financial Health,Quantitative Financial Health Score,Quantitative Moat,Quantitative Moat Score,Payout Ratio TTM,Div Growth % 1 Yr (FY 1),Div Growth % 3 Yr (FY 1),Div Growth % 5 Yr (FY 1),Div Growth % 10 Yr (FY 1),Dividend Yield % TTM,Market Cap (mil) (Daily) Base Currency,Equity Style Box (Long),Daily Closing Price 2021-06-16 Base Currency,Return (Day to Day) 2021-05-17 to 2021-06-16 Base Currency,Price 52 Wk High Base Currency,Price 52 Wk Low Base Currency,Beta 3 Yr (Mo-End),Beta 5 Yr (Mo-End),EBT Margin % 1 Yr - FY1,ROIC (TTM),Rev Growth % 1 Yr (FY 1),Rev Growth % 3 Yr (FY 1),Rev Growth % 5 Yr (FY 1),FCF Growth % 1 Yr - FY1,FCF Growth % 3 Yr - FY1,CFO Growth % 3 Yr - FY1,Book Value per Share Growth % 3 Yr,Financial Health Grade,P/E Ratio (TTM) (Long),P/E Ratio 5 Yr Avg,PEG Ratio,Earnings Yield % TTM,Sector,Industry,GICS Sector,GICS Industry,GICS Sub-Industry,SecId,Company Id,Exchange Country,Ticker,ROIC % (TTM),ROIC % FY 1,ROIC % 1 Yr Year2008,ROIC % 1 Yr Year2009,ROIC % 1 Yr Year2010,ROIC % 1 Yr Year2011,ROIC % 1 Yr Year2012,ROIC % 1 Yr Year2013,ROIC % 1 Yr Year2014,ROIC % 1 Yr Year2015,ROIC % 1 Yr Year2016,ROIC % 1 Yr Year2017,Return on Equity TTM 2021-05,ROE % FY 1,ROE % FY 2,ROE % FY 3,ROE % FY 4,ROE % FY 5,ROE % FY 6,ROE % FY 7,ROE % FY 8,ROE % FY 9,ROE % FY 10,Probability of Default,Sustainalytics Rating Date,Sustainalytics Peer Group Name,Sustainalytics ESG Risk Classification,Sustainalytics ESG Risk Score,ESG Risk Rating Assessment,Notable Material ESG Issue 1,Notable Material ESG Issue 2,Notable Material ESG Issue 3,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics Environmental Risk Score,Sustainalytics Social Risk Score,Sustainalytics Governance Risk Score,Company Controversy Level Descriptor,Company Highest Controversy Level,Company Highest Controversy Topics,,,
Mondelez International Inc,US6092071058,MDLZ,Active,3,1.10,57.00,Medium,39.90,76.95,Wide,Good,Stable,,Yes,No,Yes,No,No,60.84,Fairly Valued,0.97,Low,0.08,Strong,0.72,Wide,1.00,0.47,10.09,13.53,13.40,0.34,1.96,"88,131.58",Large Blend,62.74,0.59,64.37,49.92,0.68,0.66,12.73,8.72,2.76,0.87,-2.15,2.01,25.23,15.20,3.62,A,24.06,25.71,3.70,4.21,Consumer Defensive,Confectioners,Consumer Staples,,,0P0000036D,0C000007ZZ,United States,MDLZ,8.72,8.12,8.37,8.97,10.13,7.66,7.26,9.70,6.08,17.83,4.92,7.30,14.33,12.97,14.86,12.85,11.06,6.15,26.06,7.27,12.11,9.09,10.00,0.00,5/8/2021,Packaged Foods,Medium,23.39,3,Human Rights - Supply Chain,E&S Impact of Products and Services,Land Use and Biodiversity - Supply Chain,53.00,29.61,7.45,10.78,5.16,Significant,3,Yes,,,
3M Co,US88579Y1010,MMM,Active,3,0.99,199.00,Medium,139.30,268.65,Wide,,Stable,,Yes,No,Yes,No,No,181.74,Overvalued,0.92,Medium,0.13,Strong,0.72,Wide,1.00,0.60,2.08,7.75,7.48,10.84,3.00,"114,143.80",Large Blend,196.91,-2.95,208.95,148.80,0.90,0.96,20.85,18.45,0.15,0.55,1.23,23.11,10.75,9.14,4.64,A,20.78,22.82,2.11,4.96,Industrials,Specialty Industrial Machinery,Industrials,,,0P0000000I,0C0000095Q,United States,MMM,18.45,18.09,21.18,18.85,21.13,20.96,20.48,20.05,23.12,23.29,23.37,21.16,47.68,46.96,46.02,50.09,44.44,46.49,39.39,32.38,26.56,26.94,27.56,0.00,5/8/2021,Conglomerates,High,34.88,2,Product Governance,Business Ethics,"Emissions, Effluents and Waste",60.90,26.02,13.20,13.60,8.08,Significant,3,Yes,,,
A.O. Smith Corp,US8318652091,AOS,,,,,,,,,,,,,,,,,58.58,Overvalued,0.86,High,0.15,Strong,0.79,Wide,0.99,0.42,8.89,20.51,20.86,21.92,1.49,"10,972.00",Mid Blend,68.38,-4.72,73.05,43.88,1.04,1.05,15.33,19.85,-3.25,-1.14,2.68,28.97,29.59,19.86,6.04,A,29.61,25.77,2.53,3.51,Industrials,Specialty Industrial Machinery,Industrials,,,0P0000000Y,0C00000964,United States,AOS,19.85,17.59,9.04,8.61,10.80,23.21,11.06,11.75,13.56,17.48,18.79,15.54,22.56,19.62,21.87,26.43,18.76,22.08,20.04,15.34,13.45,13.92,31.08,0.00,5/8/2021,Industrial Machinery,Medium,25.20,3,Human Capital,Product Governance,Business Ethics,44.30,18.77,7.12,11.61,6.80,Moderate,2,Yes,,,
Abbott Laboratories,US0028241000,ABT,Active,2,1.13,97.00,Medium,67.90,130.95,Narrow,,Stable,,No,No,Yes,No,No,98.40,Overvalued,0.89,Low,0.09,Strong,0.72,Wide,1.00,0.48,12.50,10.75,8.45,-1.76,1.47,"195,556.83",Large Blend,110.06,-6.97,128.54,86.16,0.60,0.69,14.36,12.29,8.48,8.11,11.14,27.26,8.88,12.36,1.46,A,36.57,85.07,2.79,2.90,Healthcare,Medical Devices,Health Care,,,0P0000003P,0C0000096K,United States,ABT,12.29,9.66,17.47,17.74,12.33,12.27,14.09,6.72,7.64,15.01,4.53,1.86,17.95,14.08,11.97,7.71,1.85,6.71,20.70,9.78,9.93,23.31,20.07,0.00,5/8/2021,Medical Devices,Medium,28.78,3,Product Governance,Business Ethics,Human Capital,50.70,20.72,3.11,16.21,10.65,Significant,3,Yes,,,
Accenture PLC,IE00B4BNMY34,ACN,Active,1,1.42,200.00,Medium,140.00,270.00,Wide,,Stable,,No,No,Yes,No,Yes,221.30,Overvalued,0.78,Medium,0.13,Strong,0.80,Wide,1.00,0.40,9.59,9.76,9.42,11.02,1.21,"180,485.67",Large Blend,283.94,-1.48,294.50,199.29,1.11,1.09,15.28,26.83,2.57,7.01,6.13,26.35,19.55,18.21,22.62,A,33.43,24.39,3.30,2.97,Technology,Information Technology Services,Information Technology,,,0P0000004C,0C0000097A,United States,ACN,26.83,29.10,70.14,58.09,62.39,67.23,63.11,71.54,54.58,50.99,59.68,41.40,32.31,32.52,38.58,42.04,41.75,60.08,51.47,55.02,72.08,63.64,67.84,0.00,5/8/2021,IT Consulting,Low,11.31,4,Human Capital,Business Ethics,Data Privacy and Security,32.00,20.69,0.55,4.98,5.78,Moderate,2,Yes,,,
Activision Blizzard Inc,US00507V1098,ATVI,Active,3,0.97,97.00,High,58.20,150.35,Narrow,,Stable,,No,No,Yes,No,No,89.92,Fairly Valued,0.96,Medium,0.13,Strong,0.80,Wide,0.99,0.14,10.81,10.97,12.26,10.58,0.50,"73,086.20",Large Blend,94.06,0.76,104.53,71.19,0.58,0.61,32.35,13.82,24.61,4.84,11.63,,,,15.85,A,32.85,53.06,1.87,3.15,Communication Services,Electronic Gaming & Multimedia,Communication Services,,,0P00000053,0C00000986,United States,ATVI,13.82,13.26,-1.92,0.95,3.93,10.25,10.28,7.22,7.15,7.43,7.36,2.55,16.30,15.78,12.42,17.72,2.94,11.19,11.52,11.79,11.00,10.32,10.33,0.00,5/8/2021,Entertainment Software,Low,16.15,4,Human Capital,Data Privacy and Security,Business Ethics,24.90,8.75,0.15,9.84,6.15,Moderate,2,Yes,,,
Aflac Inc,US0010551028,AFL,,,,,,,,Narrow,,,,,,,,,58.24,Undervalued,1.06,High,0.21,Moderate,0.70,None,0.53,0.15,3.70,8.78,7.23,6.99,2.21,"37,449.66",Large Value,55.10,-1.83,57.57,33.37,1.07,1.00,18.81,,-0.56,0.79,1.22,9.22,-0.93,-0.93,15.44,C,7.30,10.54,,14.08,Financial Services,Insurance - Life,Financials,,,0P0000007A,0C000009AH,United States,AFL,,,,,,,,,,,,,18.82,15.29,12.61,12.15,20.43,13.93,14.05,17.90,20.64,19.82,16.14,0.00,5/8/2021,Life and Health Insurance,Medium,23.26,3,Product Governance,Business Ethics,Data Privacy and Security,36.00,12.74,2.46,7.86,12.94,Moderate,2,Yes,,,
Agilent Technologies Inc,US00846U1016,A,Active,1,1.44,100.00,Medium,70.00,135.00,Wide,,Stable,,No,No,Yes,No,Yes,108.17,Overvalued,0.75,Low,0.09,Strong,0.75,Wide,1.00,0.25,9.76,10.89,12.47,,0.52,"43,571.41",Large Blend,143.59,9.49,145.16,84.80,0.95,1.00,15.77,13.17,3.41,6.08,5.74,-7.28,4.00,1.19,2.01,A,46.20,43.14,2.63,2.08,Healthcare,Diagnostics & Research,Health Care,,,0P0000007E,0C000009AO,United States,A,13.17,10.83,14.02,0.15,12.32,16.14,17.28,10.61,8.68,7.12,8.59,11.10,16.78,14.95,23.00,6.72,15.08,10.99,8.47,10.37,14.02,24.30,26.86,0.00,5/8/2021,Laboratory Equipment and Services,Low,16.57,4,Product Governance,Human Capital,Business Ethics,28.95,12.38,0.87,9.44,6.26,Moderate,2,Yes,,,
Agnico Eagle Mines Ltd,CA0084741085,AEM,Active,2,1.71,49.00,Very High,24.50,85.75,None,,Stable,,No,No,No,No,No,69.53,Overvalued,0.83,High,0.25,Moderate,0.61,None,0.08,0.40,72.73,32.33,24.31,18.10,1.88,"20,374.02",Large Growth,83.83,-0.68,117.35,69.14,0.64,0.68,24.46,9.49,25.78,11.85,9.59,,,15.81,3.25,B,25.74,130.47,,4.00,Basic Materials,Gold,Materials,,,0P000067Y3,0C000009AR,Canada,AEM,9.49,7.87,2.80,2.69,9.25,-12.46,8.36,-15.86,3.00,1.48,3.89,4.81,12.48,9.48,9.79,-6.88,5.10,3.68,0.60,2.45,-22.33,9.37,-16.57,0.00,5/8/2021,Gold,Medium,27.67,3,"Emissions, Effluents and Waste",Community Relations,Occupational Health and Safety,66.80,39.68,13.07,7.75,6.30,Low,1,Yes,,,
Air Products & Chemicals Inc,US0091581068,APD,Active,3,0.93,323.00,Medium,226.10,436.05,Narrow,,Positive,,No,No,Yes,No,Yes,276.85,Overvalued,0.92,Medium,0.14,Strong,0.72,Wide,0.99,0.65,13.10,11.77,10.11,10.43,1.84,"66,403.13",Large Blend,300.04,-0.34,327.89,230.00,0.75,0.76,27.37,11.32,-0.70,2.65,2.51,-22.90,13.09,27.85,5.77,B,35.50,26.34,1.56,2.81,Basic Materials,Chemicals,Materials,,,0P0000007L,0C000009AX,United States,APD,11.32,11.36,11.36,7.94,11.80,13.05,11.39,8.76,8.03,10.17,5.59,23.53,15.67,16.31,16.06,14.30,34.96,8.81,17.49,13.77,14.71,19.02,21.59,0.00,5/8/2021,Industrial Gases,Low,11.18,4,Carbon - Own Operations,Occupational Health and Safety,Carbon - Products and Services,32.05,20.87,6.09,1.43,3.65,Low,1,Yes,,,
Alaris Equity Partners Income Trust,CAC010971017,AD.UN,,,,,,,,,,,,,,,,,16.47,Fairly Valued,0.99,Medium,0.15,Moderate,0.57,None,0.17,0.54,-19.85,-6.54,-3.31,3.42,7.31,750.87,Small Value,16.70,-0.65,17.30,10.27,2.00,1.86,31.99,10.38,-4.69,7.15,5.75,-3.90,2.25,2.23,-2.17,C,7.29,20.37,,13.59,Financial Services,Asset Management,Financials,,,0P0000KLF7,0C000018BU,Canada,AD.UN,10.38,3.53,2.62,15.10,4.85,15.27,6.57,7.74,9.87,9.16,9.43,2.18,13.43,3.36,5.85,9.80,1.89,9.99,9.59,10.22,8.42,7.00,16.06,0.00,5/8/2021,Asset Management and Custody Services,,,#N/A,,,,,,,,,,,,,,
Alexandria Real Estate Equities Inc,US0152711091,ARE,,,,,,,,Narrow,,,,,,,,,168.48,Overvalued,0.93,Low,0.08,Moderate,0.68,None,0.26,0.73,6.00,7.11,6.81,10.95,2.36,"26,866.80",Mid Blend,182.14,4.78,193.99,150.08,0.73,0.73,43.87,4.39,23.14,18.68,18.13,29.05,25.09,25.09,13.36,B,30.16,78.99,,3.24,Real Estate,REIT - Office,Real Estate,,,0P0000008R,0C000009C1,United States,ARE,4.39,4.98,3.45,3.54,2.96,2.53,1.84,2.34,1.76,2.42,-0.54,2.28,6.72,7.39,4.35,5.53,2.76,-3.65,3.31,2.06,3.30,2.23,3.68,0.00,5/8/2021,REITs,Low,15.15,4,Product Governance,Human Capital,ESG Integration - Financials,26.25,11.15,2.98,6.27,5.86,None,0,,,,
Algonquin Power & Utilities Corp,CA0158571053,AQN,,,,,,,,,,,,,,,,,18.71,Fairly Valued,0.96,Low,0.10,Moderate,0.65,None,0.57,0.41,10.00,9.17,10.01,9.99,4.12,"11,967.62",Mid Blend,19.56,5.16,22.67,16.85,0.14,0.16,47.25,10.60,3.12,3.29,17.76,,,15.66,12.73,B,10.09,25.79,,9.47,Utilities,Utilities - Renewable,Utilities,,,0P000080F2,0C00000PQE,Canada,AQN,10.60,10.81,-0.75,7.47,4.12,4.73,2.79,2.84,4.45,4.61,4.55,4.95,19.79,17.77,15.63,6.40,7.43,7.14,6.53,5.96,1.76,2.11,5.43,0.00,5/8/2021,Multi-Utilities,Medium,22.43,3,Community Relations,Carbon - Own Operations,"Emissions, Effluents and Waste",49.10,26.67,10.49,7.32,4.62,None,0,,,,
Alimentation Couche-Tard Inc,CA01626P4033,ATD.B,,,,,,,,,,,,,,,,,44.47,Fairly Valued,1.00,High,0.16,Moderate,0.67,Narrow,0.94,0.09,18.32,14.75,20.29,23.69,0.71,"48,150.63",Large Growth,44.44,3.04,47.49,36.03,0.95,0.91,,14.54,-8.43,12.61,9.41,,,,19.62,A,14.84,19.15,,6.66,Consumer Defensive,Grocery Stores,Consumer Staples,,,0P00005RZS,0C00000I18,Canada,ATD.B,14.54,14.35,9.21,13.37,14.66,16.08,17.60,13.83,13.42,14.67,17.07,15.10,24.54,24.79,22.25,24.62,21.88,26.68,23.67,22.60,21.25,22.03,20.55,0.00,5/8/2021,Food Retail,Medium,23.78,3,"Emissions, Effluents and Waste",E&S Impact of Products and Services,Carbon - Own Operations,35.70,11.92,8.22,10.35,5.22,Moderate,2,Yes,,,
Allegion PLC,IE00BFRT3W74,ALLE,Active,2,1.28,109.00,Medium,76.30,147.15,Wide,,Stable,,No,No,Yes,No,Yes,109.58,Overvalued,0.79,Low,0.09,Moderate,0.70,Wide,1.00,0.29,18.52,25.99,26.19,,0.98,"12,518.65",Mid Blend,139.13,-0.54,144.76,94.01,1.18,1.19,13.43,22.21,-4.70,4.14,5.63,4.87,14.16,12.19,29.11,B,30.77,29.52,3.49,3.28,Industrials,Security & Protection Services,Industrials,,,0P000101QF,0C0000AHOC,United States,ALLE,22.21,16.09,,,,,16.39,2.93,,13.66,17.79,20.04,63.02,39.61,57.06,82.63,106.16,329.88,"1,479.81",,5.06,16.39,,0.00,5/8/2021,Building Products,Medium,23.11,3,E&S Impact of Products and Services,Carbon - Own Operations,Business Ethics,35.10,11.99,12.34,4.23,6.55,None,0,,,,
Alliant Energy Corp,US0188021085,LNT,Active,2,1.11,52.00,Low,41.60,65.00,Narrow,,Stable,,No,Yes,No,No,No,53.51,Overvalued,0.93,Low,0.07,Moderate,0.65,Narrow,0.96,0.63,7.04,6.45,6.68,6.76,2.72,"14,400.25",Mid Value,57.57,1.43,59.10,45.99,0.41,0.35,16.60,6.28,-6.36,0.33,0.98,-24.09,-1.33,-1.33,7.99,B,23.33,22.04,3.34,4.26,Utilities,Utilities - Regulated Electric,Utilities,,,0P0000009L,0C000009CW,United States,LNT,6.28,6.63,7.76,3.92,6.95,7.49,7.16,7.61,7.64,7.12,6.71,7.22,10.92,11.27,11.38,11.68,11.37,9.79,10.56,11.40,11.17,10.40,10.18,0.00,5/8/2021,Multi-Utilities,Medium,28.21,3,Carbon - Own Operations,"Emissions, Effluents and Waste",Occupational Health and Safety,64.40,36.41,14.30,7.38,6.30,Moderate,2,Yes,,,
Allied Properties Real Estate Investment Trust,CA0194561027,AP.UN,,,,,,,,,,,,,,,,,45.65,Fairly Valued,1.00,High,0.15,Moderate,0.61,None,0.14,0.65,3.38,2.49,2.44,2.26,3.66,"5,803.02",Mid Value,45.60,6.56,46.37,31.50,0.83,0.80,89.34,3.98,3.52,10.16,8.93,45.57,21.47,21.44,8.32,B,17.32,9.36,,5.61,Real Estate,REIT - Office,Real Estate,,,0P000080F3,0C00000PQD,Canada,AP.UN,3.98,6.30,3.74,3.67,10.29,8.70,14.73,7.58,5.29,7.14,7.81,7.54,5.33,8.42,12.47,13.64,10.90,11.56,10.34,6.90,12.41,25.34,16.05,0.00,5/8/2021,REITs,Low,18.21,4,ESG Integration - Financials,Product Governance,Human Capital,24.30,6.09,4.98,6.93,6.31,None,0,,,,
Allstate Corp,US0200021014,ALL,Active,2,1.19,110.00,Medium,77.00,148.50,None,,Stable,,No,No,No,No,No,127.25,Fairly Valued,0.98,Medium,0.12,Moderate,0.69,None,0.13,0.11,8.00,13.43,12.47,10.44,2.07,"39,045.74",Large Value,130.44,-5.78,140.00,84.97,0.89,0.85,15.54,,0.26,4.36,4.67,10.37,8.88,8.37,16.61,C,6.04,12.80,2.32,17.33,Financial Services,Insurance - Property & Casualty,Financials,,,0P000000A3,0C000009DD,United States,ALL,,,,,,,,,,,,,15.11,21.01,21.69,10.01,17.35,9.49,10.58,13.31,10.96,11.86,4.22,0.00,5/8/2021,Property and Casualty Insurance,Medium,20.61,3,Product Governance,ESG Integration - Financials,Data Privacy and Security,39.60,18.99,1.74,7.70,11.17,Moderate,2,Yes,,,
AltaGas Ltd,CA0213611001,ALA,,,,,,,,,,,,,,,,,26.22,Fairly Valued,1.04,High,0.16,Moderate,0.61,None,0.44,0.76,0.34,-23.06,-12.56,-5.74,3.87,"7,075.36",Mid Value,25.30,6.72,25.58,14.98,1.65,1.64,12.51,4.03,1.67,29.78,20.67,,,12.62,4.31,C,18.67,67.18,,5.06,Utilities,Utilities - Regulated Gas,Utilities,,,0P000080F4,0C00000PQC,Canada,ALA,4.03,5.01,15.60,9.59,7.29,5.70,4.32,5.41,3.27,1.47,3.82,2.06,5.47,8.17,13.21,-11.15,0.88,4.59,0.33,3.86,9.64,7.47,7.60,0.00,5/8/2021,Multi-Utilities,High,36.51,2,Carbon - Own Operations,"Emissions, Effluents and Waste",Community Relations,64.60,28.09,20.02,10.57,5.92,Moderate,2,Yes,,,
Altria Group Inc,US02209S1033,MO,Active,3,0.91,52.00,Medium,36.40,70.20,Wide,,Negative,,No,No,Yes,No,No,47.09,Fairly Valued,0.99,High,0.16,Moderate,0.67,Wide,1.00,1.46,3.66,10.21,9.40,8.82,7.26,"87,664.72",Large Value,47.37,-4.10,52.59,35.83,0.62,0.61,33.06,12.53,5.28,2.25,2.02,7.42,20.14,19.60,-42.62,B,21.03,20.52,3.82,4.94,Consumer Defensive,Tobacco,Consumer Staples,,,0P000000AV,0C000009E2,United States,MO,12.53,15.74,29.91,30.27,28.58,23.29,28.44,29.19,30.73,34.46,69.39,37.44,91.58,98.42,-12.38,46.11,72.53,181.66,177.50,141.82,124.14,121.70,76.13,0.00,5/8/2021,Tobacco,Medium,25.27,3,E&S Impact of Products and Services,Business Ethics,Human Rights - Supply Chain,41.95,16.68,5.96,12.78,6.54,Moderate,2,Yes,,,
Altus Group Ltd,CA02215R1073,AIF,,,,,,,,,,,,,,,,,45.19,Overvalued,0.78,High,0.18,Moderate,0.69,Narrow,0.89,0.88,0.00,0.00,0.00,-6.70,1.04,"2,394.91",Mid Growth,57.80,3.10,64.89,40.07,0.71,0.76,6.69,5.33,6.74,5.60,6.15,46.18,14.36,7.72,-3.99,A,86.82,145.11,,1.18,Real Estate,Real Estate Services,Real Estate,,,0P00005SEF,0C00000KQX,Canada,AIF,5.33,4.50,5.59,2.38,0.34,-1.81,1.03,9.05,6.10,3.96,3.72,22.07,7.34,5.77,5.07,-4.79,29.07,4.13,2.97,5.54,11.39,-9.19,-12.48,0.00,5/8/2021,Real Estate Services,Negligible,9.76,5,Human Capital,ESG Integration - Financials,,15.80,6.04,3.14,3.08,3.53,None,0,,,,
Ameren Corp,US0236081024,AEE,Active,2,1.09,77.00,Low,61.60,96.25,None,,Stable,,No,No,No,No,No,79.22,Overvalued,0.94,Low,0.07,Moderate,0.65,None,0.40,0.54,4.17,4.01,3.86,2.65,2.51,"21,443.42",Mid Value,83.91,0.90,86.90,67.14,0.29,0.25,17.81,6.61,-1.96,-2.10,-1.02,,,-6.58,6.02,B,22.04,22.43,3.10,4.55,Utilities,Utilities - Regulated Electric,Utilities,,,0P000000BP,0C000009EV,United States,AEE,6.61,6.40,6.14,6.07,2.80,4.89,-5.40,4.02,5.80,5.86,5.90,4.83,11.12,10.25,10.55,11.00,7.32,9.30,9.22,8.84,4.39,-13.40,6.63,0.00,5/8/2021,Multi-Utilities,Medium,29.14,3,"Emissions, Effluents and Waste",Carbon - Own Operations,Occupational Health and Safety,64.00,30.37,15.49,12.19,5.95,Moderate,2,Yes,,,
American Campus Communities Inc,US0248351001,ACC,,,,,,,,None,,,,,,,,,44.88,Overvalued,0.93,Low,0.09,Moderate,0.59,None,0.20,47.00,0.53,2.61,3.54,3.37,3.88,"6,686.49",Small Blend,48.50,3.81,49.21,31.07,1.07,0.94,8.18,1.21,-7.68,3.01,2.93,-2.00,7.74,3.28,-3.96,B,"1,179.00",65.58,,0.08,Real Estate,REIT - Residential,Real Estate,,,0P000000CF,0C000009FE,United States,ACC,1.21,2.48,1.21,1.28,3.13,3.69,2.80,3.46,2.67,3.49,3.01,2.20,0.17,2.21,2.45,3.32,1.95,3.14,4.27,2.36,3.93,2.77,4.31,0.00,5/8/2021,REITs,Low,18.26,4,ESG Integration - Financials,Product Governance,Human Capital,26.75,8.49,5.13,7.20,5.94,None,0,,,,
American Electric Power Co Inc,US0255371017,AEP,Active,3,0.95,89.00,Low,71.20,111.25,Narrow,,Stable,,No,Yes,No,No,No,83.59,Fairly Valued,0.99,Low,0.07,Moderate,0.64,Narrow,0.96,0.63,4.80,5.92,5.72,5.20,3.46,"42,178.93",Large Value,84.40,-2.72,94.21,74.80,0.31,0.26,14.39,6.20,-4.13,-1.11,-1.94,,,-3.54,3.65,B,18.82,27.97,2.93,5.41,Utilities,Utilities - Regulated Electric,Utilities,,,0P000000CR,0C000009FQ,United States,AEP,6.20,6.36,7.33,6.85,5.88,7.85,5.75,5.93,6.07,6.98,2.90,6.21,11.20,10.95,9.94,10.31,10.72,3.46,11.79,9.93,9.45,8.42,13.72,0.00,5/8/2021,Electric Utilities,High,35.14,2,Carbon - Own Operations,"Emissions, Effluents and Waste",Occupational Health and Safety,72.20,37.06,20.02,9.83,5.28,Moderate,2,Yes,,,
American Express Co,US0258161092,AXP,Active,2,1.24,133.00,Medium,93.10,179.55,Wide,,Stable,,No,No,No,Yes,Yes,179.78,Undervalued,1.09,Very High,0.38,Strong,0.87,Narrow,0.98,0.28,4.88,8.68,8.77,9.10,1.04,"132,287.91",Large Growth,164.68,4.79,167.14,89.11,1.35,1.30,12.32,,-15.67,-0.59,1.89,-65.69,-30.92,-25.53,10.32,B,26.25,17.82,1.23,3.70,Financial Services,Credit Services,Financials,,,0P000000CU,0C000009FT,United States,AXP,,,,,,,,,,,,,21.60,13.18,29.24,33.47,13.65,25.51,24.49,29.07,27.68,23.53,27.85,0.00,5/8/2021,Consumer Finance,Low,19.81,4,Data Privacy and Security,Product Governance,Business Ethics,37.10,18.16,0.05,9.81,9.08,Moderate,2,Yes,,,
American Tower Corp,US03027X1000,AMT,Active,2,1.39,192.00,High,115.20,297.60,Narrow,,Stable,,No,Yes,No,No,Yes,202.99,Overvalued,0.76,Medium,0.12,Moderate,0.67,Wide,0.99,1.05,19.84,20.02,20.14,,1.76,"121,190.15",Large Growth,266.53,8.01,272.20,197.50,0.24,0.23,22.65,6.93,6.08,6.46,11.00,3.20,10.33,9.88,-14.14,B,59.27,61.02,2.70,1.62,Real Estate,REIT - Specialty,Real Estate,,,0P000000ED,0C00000AA6,United States,AMT,6.93,6.22,6.80,5.37,6.32,6.27,8.39,6.14,7.21,4.99,5.85,7.10,51.09,36.96,36.33,21.20,17.71,12.66,11.22,21.40,15.51,18.58,11.68,0.00,5/8/2021,REITs,Low,12.33,4,Product Governance,Human Capital,ESG Integration - Financials,24.35,12.02,3.73,3.78,4.81,None,0,,,,
American Water Works Co Inc,US0304201033,AWK,Active,1,1.30,122.00,Low,97.60,152.50,Narrow,,Stable,,No,Yes,No,No,No,136.12,Overvalued,0.86,Medium,0.11,Moderate,0.66,Narrow,0.99,0.56,9.97,9.89,10.08,9.60,1.42,"28,757.42",Mid Blend,158.47,3.69,172.56,120.67,0.24,0.21,24.46,4.22,4.63,4.01,3.64,,,-0.53,5.66,B,39.25,33.14,3.98,2.49,Utilities,Utilities - Regulated Water,Utilities,,,0P00009JO7,0C00000QR4,United States,AWK,4.22,4.28,-3.98,-0.43,4.89,5.01,5.56,3.58,3.95,4.24,3.90,3.34,11.20,11.28,10.36,10.08,8.04,9.12,9.55,8.77,8.05,8.25,7.40,0.00,5/8/2021,Water Utilities,Medium,27.66,3,"Emissions, Effluents and Waste",Product Governance,Occupational Health and Safety,54.05,26.39,13.06,9.33,5.27,Moderate,2,Yes,,,
AMETEK Inc,US0311001004,AME,Active,3,1.10,123.00,Medium,86.10,166.05,Narrow,,Stable,,No,No,Yes,No,Yes,114.30,Overvalued,0.84,Medium,0.10,Strong,0.74,Wide,0.99,0.21,28.57,25.99,14.87,19.62,0.56,"31,266.46",Mid Blend,135.40,0.94,139.07,84.53,1.35,1.33,23.84,10.09,-11.99,1.83,2.70,19.24,16.76,15.41,14.00,A,38.71,24.12,2.13,2.58,Industrials,Specialty Industrial Machinery,Industrials,,,0P000000EZ,0C00000AB0,United States,AME,10.09,11.53,12.76,10.13,11.93,13.82,14.00,13.34,13.52,12.97,10.78,12.97,14.17,15.77,18.41,18.81,18.71,15.73,18.20,18.33,18.23,20.01,20.09,0.00,5/8/2021,Electrical Equipment,Medium,25.98,3,Product Governance,Business Ethics,Human Capital,38.45,12.47,8.32,9.95,7.71,Low,1,Yes,,,
Amgen Inc,US0311621009,AMGN,Active,2,1.11,215.00,Medium,150.50,290.25,Wide,,Stable,,No,No,Yes,No,No,213.72,Overvalued,0.89,Low,0.09,Moderate,0.68,Wide,1.00,0.54,10.34,11.64,15.16,,2.80,"137,651.64",Large Value,239.58,-4.69,276.69,210.28,0.59,0.71,31.99,19.56,8.83,3.62,3.25,,,,-22.50,B,19.71,24.59,1.76,5.04,Healthcare,Drug Manufacturers - General,Health Care,,,0P000000F0,0C00000AB1,United States,AMGN,19.56,19.92,14.14,15.51,13.21,9.84,11.24,11.35,10.33,12.70,13.31,3.53,75.30,76.13,70.73,44.48,7.18,26.65,25.77,21.55,24.69,22.82,17.14,0.00,5/8/2021,Biotechnology,Low,19.11,4,Product Governance,Access to Basic Services,Business Ethics,38.00,18.89,0.03,12.78,6.30,Moderate,2,Yes,,,
